id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,63.55,POIN,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,65.8,POIN,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67.32,POIN,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,67.08,POIN,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,70.51,POIN,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,64.27,POIN,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.29,POIN,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,73.1,POIN,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,71.19,POIN,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,78.98,POIN,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,72.93,POIN,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,78.84,POIN,2014
132,32,JAWA BARAT,3276,KOTA DEPOK,78.58,POIN,2014
133,32,JAWA BARAT,3277,KOTA CIMAHI,76.06,POIN,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,69.04,POIN,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,68.34,POIN,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,67.77,POIN,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,64.44,POIN,2015
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,62.42,POIN,2015
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70.05,POIN,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,63.21,POIN,2015
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,63.17,POIN,2015
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68.02,POIN,2015
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,67.19,POIN,2015
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,66.07,POIN,2015
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,64.75,POIN,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,69.29,POIN,2015
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,64.36,POIN,2015
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,66.52,POIN,2015
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67.84,POIN,2015
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,67.66,POIN,2015
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,71.19,POIN,2015
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,65.23,POIN,2015
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.62,POIN,2015
154,32,JAWA BARAT,3271,KOTA BOGOR,73.65,POIN,2015
155,32,JAWA BARAT,3272,KOTA SUKABUMI,71.84,POIN,2015
156,32,JAWA BARAT,3273,KOTA BANDUNG,79.67,POIN,2015
157,32,JAWA BARAT,3274,KOTA CIREBON,73.34,POIN,2015
158,32,JAWA BARAT,3275,KOTA BEKASI,79.63,POIN,2015
159,32,JAWA BARAT,3276,KOTA DEPOK,79.11,POIN,2015
160,32,JAWA BARAT,3277,KOTA CIMAHI,76.42,POIN,2015
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,69.99,POIN,2015
162,32,JAWA BARAT,3279,KOTA BANJAR,69.31,POIN,2015
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,68.32,POIN,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65.13,POIN,2016
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,62.92,POIN,2016
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70.69,POIN,2016
167,32,JAWA BARAT,3205,KABUPATEN GARUT,63.64,POIN,2016
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,63.57,POIN,2016
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68.45,POIN,2016
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,67.51,POIN,2016
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,66.7,POIN,2016
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,65.25,POIN,2016
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,69.45,POIN,2016
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,64.78,POIN,2016
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,67.14,POIN,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,68.56,POIN,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,68.19,POIN,2016
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,71.83,POIN,2016
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,65.81,POIN,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.79,POIN,2016
181,32,JAWA BARAT,3271,KOTA BOGOR,74.5,POIN,2016
182,32,JAWA BARAT,3272,KOTA SUKABUMI,72.33,POIN,2016
183,32,JAWA BARAT,3273,KOTA BANDUNG,80.13,POIN,2016
184,32,JAWA BARAT,3274,KOTA CIREBON,73.7,POIN,2016
185,32,JAWA BARAT,3275,KOTA BEKASI,79.95,POIN,2016
186,32,JAWA BARAT,3276,KOTA DEPOK,79.6,POIN,2016
187,32,JAWA BARAT,3277,KOTA CIMAHI,76.69,POIN,2016
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70.58,POIN,2016
189,32,JAWA BARAT,3279,KOTA BANJAR,70.09,POIN,2016
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,69.13,POIN,2017
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65.49,POIN,2017
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,63.7,POIN,2017
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,71.02,POIN,2017
194,32,JAWA BARAT,3205,KABUPATEN GARUT,64.52,POIN,2017
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,64.14,POIN,2017
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68.87,POIN,2017
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,67.78,POIN,2017
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,67.39,POIN,2017
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,65.92,POIN,2017
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70.07,POIN,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65.58,POIN,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,67.73,POIN,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69.28,POIN,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,69.17,POIN,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,72.63,POIN,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,66.63,POIN,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,66.6,POIN,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,75.16,POIN,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,73.03,POIN,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,80.31,POIN,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,74.0,POIN,2017
212,32,JAWA BARAT,3275,KOTA BEKASI,80.3,POIN,2017
213,32,JAWA BARAT,3276,KOTA DEPOK,79.83,POIN,2017
214,32,JAWA BARAT,3277,KOTA CIMAHI,76.95,POIN,2017
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71.51,POIN,2017
216,32,JAWA BARAT,3279,KOTA BANJAR,70.79,POIN,2017
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,69.69,POIN,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66.05,POIN,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,64.62,POIN,2018
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,71.75,POIN,2018
221,32,JAWA BARAT,3205,KABUPATEN GARUT,65.42,POIN,2018
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65.0,POIN,2018
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69.63,POIN,2018
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,68.55,POIN,2018
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,68.05,POIN,2018
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,66.72,POIN,2018
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70.99,POIN,2018
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66.36,POIN,2018
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,68.31,POIN,2018
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69.98,POIN,2018
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,69.89,POIN,2018
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.49,POIN,2018
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,67.46,POIN,2018
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,67.44,POIN,2018
235,32,JAWA BARAT,3271,KOTA BOGOR,75.66,POIN,2018
236,32,JAWA BARAT,3272,KOTA SUKABUMI,73.55,POIN,2018
237,32,JAWA BARAT,3273,KOTA BANDUNG,81.06,POIN,2018
238,32,JAWA BARAT,3274,KOTA CIREBON,74.35,POIN,2018
239,32,JAWA BARAT,3275,KOTA BEKASI,81.04,POIN,2018
240,32,JAWA BARAT,3276,KOTA DEPOK,80.29,POIN,2018
241,32,JAWA BARAT,3277,KOTA CIMAHI,77.56,POIN,2018
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.03,POIN,2018
243,32,JAWA BARAT,3279,KOTA BANJAR,71.25,POIN,2018
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.65,POIN,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66.87,POIN,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65.38,POIN,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.41,POIN,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,66.22,POIN,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65.64,POIN,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.39,POIN,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,69.12,POIN,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,68.69,POIN,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67.52,POIN,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.46,POIN,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66.97,POIN,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,68.69,POIN,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.67,POIN,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70.86,POIN,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.99,POIN,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,68.27,POIN,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.21,POIN,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,76.23,POIN,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,74.31,POIN,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,81.62,POIN,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,74.92,POIN,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,81.59,POIN,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,80.82,POIN,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,78.11,POIN,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.84,POIN,2019
